순번,시설구분,벤처기업육성촉진지구명,주소,좌표(X),좌표(Y)
44,벤처기업육성촉진지구,제주 벤처기업육성촉진지구,"제주특별자치도 이도1동, 이도2동",126.5300264,33.49867159
45,벤처기업육성촉진지구,제주 벤처기업육성촉진지구,"제주특별자치도 이도1동, 이도2동",126.5239807,33.48254605
46,벤처기업집적시설,테크노마트21벤처연구개발단지,서울특별시 광진구 광나루로56길 85 ,127.0956923,37.53572635
47,벤처기업집적시설,에이직벤처센터,서울특별시 송파구 중대로 135 ,127.1224273,37.49509524
48,벤처기업집적시설,IT벤처타워,서울특별시 송파구 중대로 135  ,127.1224273,37.49509524
49,벤처기업집적시설,파라다이스벤처타워,서울특별시 강남구 테헤란로52길 21 ,127.0485128,37.50293341
50,벤처기업집적시설,서울대 벤처타워,서울특별시 관악구 관악로 1 ,126.959296,37.46803851
51,벤처기업집적시설,DMC산학협력연구센터,서울특별시 마포구 매봉산로37 ,126.8905992,37.57605028
52,벤처기업집적시설,중소기업글로벌지원센터,서울특별시 마포구 성암로 189 ,126.8978976,37.57675599
53,벤처기업집적시설,DMC첨단산업센터,서울특별시 마포구 성암로 330 ,126.8858947,37.5847278
54,벤처기업집적시설,MARU 180,서울특별시 강남구 역삼로 180 ,127.0388598,37.49545503
55,벤처기업집적시설,벤하이밸리,서울특별시 영등포구 여의도동 61-2 ,126.9376949,37.51850711
56,벤처기업집적시설,백양벤처빌딩,부산광역시 사상구 모라로 192번길9 ,129.0010593,35.18531252
57,벤처기업집적시설,센텀벤처빌딩,부산광역시 해운대구 우2동 1475번지  센텀벤처타운1~7층,129.130681,35.17286363
58,벤처기업집적시설,엔컴빌딩,부산광역시 사상구 광장로 54 (괘법동),128.9822827,35.16192052
59,벤처기업집적시설,인천IT타워,인천광역시 남구 도화1동 592-5 ,126.6680218,37.4646311
60,벤처기업집적시설,벤처타운다산관,대전광역시 대덕구 신일서로85길 91 ,127.4103787,36.43897737
61,벤처기업집적시설,벤처타운 종합영상관,대전광역시 유성구 도룡동 3-1 ,127.3843161,36.37736308
62,벤처기업집적시설,충남대학교 산학연교육연구관,대전광역시 유성구 대학로 99 충남대학교,127.3420001,36.36836824
63,벤처기업집적시설,벤처타운 장영실관,대전광역시 대덕구 신일동로105 ,127.4130908,36.43808488
64,벤처기업집적시설,BIT벤처빌딩,대전광역시 유성구 장동 59-5번지 ,127.3648174,36.38768674
65,벤처기업집적시설,한밭인큐베이터타운,대전광역시 유성구 동서대로 125 (덕명동),127.305105,36.34532596
66,벤처기업집적시설,대구테크노파크 대구벤처센터,대구광역시 동구 동대구로 475 ,128.6248287,35.87283723
67,벤처기업집적시설,대구테크노파크 테크노빌딩,대구광역시 북구 경대로 17길 47 ,128.6137068,35.892632
68,벤처기업집적시설,대구테크노파크 벤처공장,대구광역시 달서구 성서공단로 11길 62 ,128.4885243,35.84036349
69,벤처기업집적시설,대구테크노파크 대구지식서비스센터,대구광역시 동구 동대구로 481 ,128.6248017,35.87324851
70,벤처기업집적시설,대구소프트타운,대구광역시 남구 대명동 2139-12 ,128.5813345,35.85435315
71,벤처기업집적시설,문화산업지원센터,대구광역시 남구 대명동 2139-12 ,128.5813345,35.85435315
72,벤처기업집적시설,소프트웨어벤처타워,대구광역시 북구 산격동 505-7 ,128.6067625,35.90213661
73,벤처기업집적시설,대구벤처비지니스센터,대구광역시 동구 장등로 56 (벽산솔렌스힐2층상가 106호 외 17),128.6242311,35.87241637
74,벤처기업집적시설,울산벤처빌딩,울산광역시 남구 옥현로 129 ,129.2635057,35.54756555
75,벤처기업집적시설,전남대학교 산학협력공학관,광주광역시 북구 용봉동 300 ,126.9085689,35.17470082
76,벤처기업집적시설,상무대학 직업전문학교,광주광역시 서구 동천동 136 ,126.8553056,35.17192681
77,벤처기업집적시설,성남벤처빌딩,경기도 성남시 수정구 탄리로 57 (수진동),127.1361163,37.44109533
78,벤처기업집적시설,윈텍벤처빌딩,경기도 의왕시 벌모루앞길 14 ,126.986381,37.39191963
79,벤처기업집적시설,수원시벤처기업 지원센터,경기도 수원시 팔달구 경수대로 464 (인계동),127.0273735,37.26746308
80,벤처기업집적시설,코리아디자인센터,경기도 성남시 분당구 양현로 322 (야탑동),127.1232879,37.41319591
81,벤처기업집적시설,만안벤처센터,경기도 안양시 만안구 안양로 138번길 5 (안양동),126.9317919,37.3871073
82,벤처기업집적시설,경기창조산업 안양센터,경기도 안양시 동안구 시민대로 248번길 25 (부림동),126.9589622,37.39219801
83,벤처기업집적시설,경기중소기업 성장지원센터,경기도 수원시 권선구 수성로 8 (구운동),126.9748947,37.2814153
84,벤처기업집적시설,경기벤처연성대학교센터,경기도 안양시 만안구 안양로 111 (안양동),126.9326796,37.38441915
85,벤처기업집적시설,안양관양동 두산벤처다임,경기도 안양시 관양동 1307-37 ,126.9667725,37.40187744
86,벤처기업집적시설,한국나노기술원,경기도 수원시 영통구 광교로 109 (이의동),127.0418592,37.2932502
87,벤처기업집적시설,춘의테크노파크Ⅱ,경기도 부천시 원미구 춘의동 202 ,126.7875455,37.5015648
88,벤처기업집적시설,경기R&amp;DB센터,경기도 수원시 영통구 광교로 105 (이의동),127.0443709,37.29154092
89,벤처기업집적시설,경기바이오센터,경기도 수원시 영통구 광교로 147 (이의동),127.043335,37.29444625
90,벤처기업집적시설,(재)차세대융합기술연구원,경기도 수원시 영통구 이의동 906-5 ,127.0431302,37.29114492
91,벤처기업집적시설,안랩쏠리드 스페이스,경기도 성남시 분당구 판교역로 220 (삼평동),127.1102247,37.40042874
92,벤처기업집적시설,미래에셋벤처타워,경기도 성남시 분당구 판교역로 241번길 20 (삼평동),127.1073729,37.40276321
93,벤처기업집적시설,하남벤처센터,경기도 하남시 검단산로 239 (창우동),127.2281571,37.53605649
94,벤처기업집적시설,코리아바이오파크,경기도 성남시 분당구 대왕판교로 700 (삼평동),127.1054359,37.40354704
95,벤처기업집적시설,NPL센터,경기도 안양시 호계동 1027-19 ,126.9480368,37.37038893
96,벤처기업집적시설,판교디지털콘텐츠파크조성사업컨소시엄,경기도 성남시 분당구 판교로 242 (삼평동),127.1011019,37.40240833
97,벤처기업집적시설,판교이노밸리(5BL),경기도 성남시 분당구 판교로 255 (삼평동),127.1030463,37.40374377
98,벤처기업집적시설,판교이노밸리(6BL),경기도 성남시 분당구 판교로 253 (삼평동),127.1016093,37.40349272
99,벤처기업집적시설,유니온팁스(Union-Tips),경기도 성남시 분당구 판교로 (삼평동),127.1103469,37.40367411
100,벤처기업집적시설,유스테이션(U-Station),성남시 분당구 삼평동 672 외 5필지 ,127.1019447,37.40638246
101,벤처기업집적시설,판교세븐벤처밸리1,경기도 성남시 분당구 삼평동 625번지 ,127.1012453,37.40153962
102,벤처기업집적시설,판교세븐벤처밸리2,경기도 성남시 분당구 삼평동 633번지 ,127.1014877,37.40044017
103,벤처기업집적시설,I-PORTA 조성사업컨소시엄,경기도 성남시 분당구 판교로255번길 20 테크노밸리단지내A-2-1,127.1014577,37.4049453
104,벤처기업집적시설,프라이밍워터밸리,경기도 안양시 동안구 엘에스로 91번길 46-10 (호계동),126.9487509,37.36949182
105,벤처기업집적시설,광교비즈니스센터,경기도 수원시 영통구 광교로 107 이의동 광교도시지원시설용지 3-2블록,127.0429954,37.29224424
106,벤처기업집적시설,유니테크빌,경기도 고양시 일산동구 일산로 142 (백석동),126.7937322,37.64992427
107,벤처기업집적시설,일산테크노타운,경기도 고양시 일산동구 일산로 138 (백석동),126.795019,37.65011031
108,벤처기업집적시설,고양브로멕스타워,경기도 고양시 일산동구 장항동 731-2 ,126.7667271,37.66427523
109,벤처기업집적시설,브로멕스타워Ⅲ,경기도 고양시 일산동구 장항동 869 M-CITY빌딩,126.7710192,37.65433322
110,벤처기업집적시설,경기벤처빌딩 고양센터,"경기도 고양시 일산동구 장항동 757 757, 757-2번지",126.7674065,37.66012125
111,벤처기업집적시설,한경대학교 산학협력관(센터),경기도 안성시 중앙로 327 석정동 317,127.2605123,37.01270988
112,벤처기업집적시설,아이코닉스,경기도 성남시 분당구 판교로 255번길 64 (삼평동),127.0977115,37.40431774
113,벤처기업집적시설,씨즈타워,경기도 성남시 분당구 판교로 255번길 58 (삼평동),127.097672,37.40518996
114,벤처기업집적시설,코리아벤처타운,경기도 성남시 분당구 삼평동 676 ,127.1122039,37.40076567
115,벤처기업집적시설,한국반도체산업협회,경기도 성남시 분당구 삼평동 644 ,127.110048,37.39694015
116,벤처기업집적시설,경기북부벤처센터,경기도 의정부시 망월로 18-26 (호원동),127.0445234,37.70898055
117,벤처기업집적시설,수원시 창업지원센터,경기도 수원시 팔달구 향교로 160번지 ,127.0162633,37.27466625
118,벤처기업집적시설,판교실리콘파크,경기도 성남시 분당구 삼평동 613번지 ,127.0994881,37.40510555
119,벤처기업집적시설,SK-n 테크노파크 비즈동,경기도 성남시 중원구 사기막골로 124 (상대원동),127.1775201,37.44047997
120,벤처기업집적시설,라성아카데미벤처,경기도 시흥시 정왕동 2164-1 ,126.713397,37.3524651
121,벤처기업집적시설,광교하이니티,경기도 수원시 영통구 에듀타운로 106번길 16 (이의동),127.0466031,37.2902714
122,벤처기업집적시설,디에스벤처타운1차,경기도 시흥시 만해로 41 (정왕동),126.7457834,37.33166773
123,벤처기업집적시설,이지벤처집적시설,경기도 시흥시 정왕동 1365-16 ,126.7253117,37.3387437
124,벤처기업집적시설,델리스빌딩,경기도 성남시 중원구 사기막골로 164 (상대원동),127.177964,37.44303818
125,벤처기업집적시설,동양벤처타운,경기도 시흥시 정왕동 1365-14 ,126.7263149,37.33843247
126,벤처기업집적시설,하이테크 벤처타운,"강원도 춘천시 강원도 소양강로 32, 56 ",127.7429659,37.89218796
127,벤처기업집적시설,춘천S/W 센터,강원도 춘천시 후평동 244-40 ,127.7465817,37.88999204
128,벤처기업집적시설,창작개발센터,강원도 춘천시 서면 박사로 882 ,127.6925751,37.89497098
129,벤처기업집적시설,천안산업기술단지 번영관,충청남도 천안시 직산 삼은리 504 ,127.1603939,36.88716387
130,벤처기업집적시설,천안산업기술단지 생산관,충청남도 천안시 직산 삼은리 505 ,127.1602035,36.88625942
131,벤처기업집적시설,천안산업기술단지 성공관,충청남도 천안시 직산 삼은리 514 ,127.1585538,36.88701135
132,벤처기업집적시설,아산벤처타운,충청남도 아산시 둔포면 봉신로230번길 46-3 ,127.0541996,36.87955355
133,벤처기업집적시설,오창벤처프라자,충청북도 청주시 청원구 오창읍 각리1길 7,127.4310777,36.70656097
134,벤처기업집적시설,포항테크노파크,경상북도 포항시 남구 지곡동 601 ,129.3159016,36.03597574
135,벤처기업집적시설,금오공과대학교 벤처지원센터,경상북도 구미시 대학로 61번지 ,128.3934846,36.14631964
136,벤처기업집적시설,군산친환경자동차부품R&D센터,전라북도 군산시 산단남북로 169 (오식도동),126.5606563,35.96112891
137,벤처기업집적시설,제주벤처마루,제주특별자치도 중앙로 217호 ,126.5300004,33.50030518
138,벤처기업집적시설,(주)다흥벤처센터,부산광역시 강서구 녹산산단261로87번길 22 (송정동),128.843596,35.097056
139,벤처기업집적시설,디에스벤처타운2차,경기도 시흥시 공단1대로363번길 58 (정왕동),126.7457834,37.33166773
140,벤처기업집적시설,디에스벤처타운3차,경기도 시흥시 만해로 37 (정왕동),126.7457834,37.33166773
141,벤처기업집적시설,디에스벤처타운4차,경기도 시흥시 시화벤처로 299 (정왕동),126.7457834,37.33166773
142,벤처기업집적시설,디에스벤처타운5차,경기도 시흥시 시화벤처로 299 (정왕동),126.7457834,37.33166773
143,벤처기업집적시설,OK벤처타운,경기도 시흥시 시화벤처로 299 (정왕동),126.711798,37.318646
144,벤처기업집적시설,광양벤처타운,경기도 시흥시 군자천로 213 (정왕동),126.722273,37.334254
145,벤처기업집적시설,안양창조경제융합센터,경기도 안양시 동안구 시민대로327번길 11-41 (관양동),126.957115,37.39186
146,벤처기업집적시설,올콘텐츠/스타빌딩,"경기도 용인시 기흥구 용구대로 2257-7, 2257-9 (신갈동)",127.108188,37.244881
147,벤처기업집적시설,(주)포인트,충청남도 아산시 둔포면 봉신로230번길 42 ,127.052919,36.881574
148,벤처기업집적시설,CT IDEA HUB,대구광역시 달서구 송현로 205 대구공업대학교 학생복지회관 (본동),128.5443195,35.83407393
149,벤처기업집적시설,니트타워,인천광역시 연수구 컨벤시아대로 165 (송도동),126.6444403,37.38913512
150,벤처기업집적시설,(주)코리아실테크 벤처센터,부산광역시 강서구 녹산산업북로313번길 39 (송정동),128.8560743,35.09871495
151,벤처기업집적시설,명우빌딩,서울특별시 강남구 역삼로 169 (역삼동),127.0375435,37.49553294
152,벤처기업집적시설,해성빌딩,서울특별시 강남구 역삼로 165 (역삼동),127.037159,37.49540692
153,벤처기업집적시설,분당서울대학교병원 헬스케어혁신파크,"경기도 성남시 분당구 돌마로 172 1층일부, 4층일부 (정자동)",127.1209746,37.35421551
154,벤처기업집적시설,디에스벤처타운6차,시흥시 만해로 49 (정왕동),126.7460539,37.33040687
155,벤처기업집적시설,IGD벤처타운,시흥시 베미골길 24 (목감동),126.863496,37.38447306
156,신기술창업집적지역,벤처이노베이션 팩토리단지 (카이스트),대전광역시 유성구 문지로 193번지 ,127.3992857,36.39232385
157,신기술창업집적지역,산학융합 벤처밸리 (영진전문대),경상북도 칠곡군 지천면 송정수정길 57 (송정수정길) / 경북 칠곡군 지천면 금송로 60,128.4639181,35.94833604
158,신기술창업집적지역,HNU Science park (한남대),대전광역시 유성구 유성대로 1646 ,127.390766,36.39955777
159,신기술창업집적지역,호서벤처밸리 (호서대),충청남도 아산시 배방읍 호서로 79번길 20 ,127.0771068,36.73446194
160,신기술창업집적지역,배재대학교 산학협력관,대전광역시 유성구 테크노1로 11-3 ,127.388784,36.43222245
161,신기술창업집적지역,동국 바이오 파크 (동국대),경기도 고양시 일산동구 동국로 32 (식사동),126.8078035,37.67730538
162,신기술창업집적지역,영동 테크노밸리 (영동대),충청북도 영동군 영동읍 대학로 310 ,127.7990833,36.1958941
163,신기술창업집적지역,HISTEC (한밭대),대전광역시 유성구 동서대로 125 (덕명동),127.3053946,36.34532522
164,신기술창업집적지역,Eco-Green 테크노밸리 (전북대),"전라북도 군산시 오식도동 515, 515-5, 515-6",126.5583446,35.96299679
165,신기술창업집적지역,차세대녹색기술창업플라자 (단국대),경기도 용인시 수지구 죽전로 152 ,127.1278368,37.32068996
166,신기술창업집적지역,새만금녹색융복합 테크노밸리 (군산대),"전라북도 군산시 오식도동 515-4, 515-8, 515-10, 515-12, 515-13, 515-14",126.5609146,35.96132092
167,신기술창업집적지역,부경테크노밸리(부경대),부산광역시 남구 신선로 365 (용당동),129.088854,35.115093
168,창업보육센터,중진공(안산),경기도 안산시 단원구 연수원로 64 (원곡동),126.7989429,37.31856539
169,창업보육센터,호서대학교 벤처창업보육센터,충청남도 아산시 배방읍 호서로79번길 20 벤처창조융합관 304호,127.0770822,36.73444754
170,창업보육센터,중진공 원주 포스트BI,강원도 원주시 태장공단길 51 (태장동),127.9452219,37.40270438
171,창업보육센터,서울신기술창업센터,서울특별시 강서구 공항대로61길 29 신기술창업센터 C동 105호 (등촌동),126.8652269,37.55264861
172,창업보육센터,광주드림파크,광주광역시 광산구 하남산단천변좌로 19 (오선동),126.8121832,35.20781
173,창업보육센터,명지대창업보육센터(용인),경기도 용인시 처인구 명지로 116 명지대학교 명지대학교 창업보육센터,127.1901354,37.22177121
174,창업보육센터,연세대학교 창업지원단,서울특별시 서대문구 연세로 50 (신촌동 134) 공학원 211호,126.9429203,37.56382103
175,창업보육센터,세한대학교 창업보육센터,전라남도 영암군 삼호읍 소등로 189 204호,126.4541683,34.7770781
176,창업보육센터,경희국제캠퍼스창업보육센터(용인),"경기도 수원시 영통구 덕영대로 1731, 애지원 창업보육센터 202호 (영통동) 애지원 창업보육센터 202호",127.0801469,37.24557621
177,창업보육센터,동아대학교창업보육센터,부산광역시 사하구 낙동대로550번길 37 동아대학교 산학연구관 301호 창업보육센터 (하단동),128.9675089,35.11575598
178,창업보육센터,순천대창업보육센터,"전라남도 순천시 중앙로 255, 순천대학교 국제문화컨벤션관 310호 창업보육센터 순천대학교 창업보육센터",127.4801779,34.96950433
179,창업보육센터,순천향BIT창업보육센터,충청남도 아산시 신창면 순천향로 22 산학협력관 B311호,126.9322125,36.77000238
180,창업보육센터,안동대학교창업보육센터,경북 안동시 경동로 1375 안동대학교 창업지원센터,128.7969182,36.54230817
181,창업보육센터,전북대창업보육센터,전라북도 전주시 덕진구 백제대로 567 (금암동),127.1270006,35.84649
182,창업보육센터,제주대학교 창업보육센터,제주특별자치도 제주시 중앙로14길 21 제주대학교 창업보육센터터 2층 행정실 (삼도이동),126.5220658,33.51089377
183,창업보육센터,조선대학교창업보육센터,광주광역시 동구 필문대로 309 (서석동),126.9308907,35.14128058
184,창업보육센터,충북보건과학대학교 창업보육센터,충청북도 청주시 청원구 내수읍 덕암길 10 충북보건과학대학교내 창업보육센터,127.5519771,36.70230686
185,창업보육센터,한국국제대학교 창업보육센터,경상남도 진주시 문산읍 동부로 965 동부로 965,128.203086,35.17307417
186,창업보육센터,한남대학교창업보육센터(HNU Science Park),대전광역시 유성구 유성대로 1646 (전민동),127.3914614,36.39908148
187,창업보육센터,한림창업보육센터,"강원도 춘천시 한림대학길 1, 12105 (옥천동, 창업보육센터)",127.7392077,37.88629613
188,창업보육센터,계명대학교 창업지원단,대구광역시 남구 명덕로 104 (대명동)계명대학교 동산관 802호,128.5802533,35.85419796
189,창업보육센터,대전경제통상진흥원 창업보육센터,대전광역시 유성구 가정북로 96 대전경제통상진흥원,127.3603248,36.39255588
190,창업보육센터,경남정보대학교 창업보육센터,부산광역시 사상구 주례로 45 경남정보대학교 민석기념관 1층 창업보육센터,129.0120923,35.1474211
191,창업보육센터,인제대김해창업보육센터,경상남도 김해시 인제로 197 (어방동),128.901707,35.25065097
192,창업보육센터,건국대벤처창업지원센터,"서울특별시 광진구 능동로 120, 건국대학교 창의관 210호 (화양동) 건국대학교 창의관 210호",127.0763453,37.54297907
193,창업보육센터,경기과학기술대학교창업지원센터,경기도 시흥시 경기과기대로 270 경기과학기술대학교 제2중소기업관 경기과학기술대학교 창업보육센터,126.7360041,37.33901673
194,창업보육센터,경기창업보육센터,경기도 수원시 영통구 광교산로 154-42 (이의동) 경기대학교 창업보육센터,127.0347397,37.30108432
195,창업보육센터,경남대학교 창업보육관,경상남도 창원시 마산합포구 3·15대로 298 (서성동),128.5704624,35.20270249
196,창업보육센터,목포대학교 창업보육센터,전라남도 무안군 청계면 영산로 1666 교수회관 4층(도림리 61) 목포대학교 창업지원단,126.4374732,34.91078662
197,창업보육센터,부산대학교 중소기업창업보육센터,부산광역시 금정구 부산대학로63번길 2 부산대학교 삼성산학협동관 / 효원산학협동관 (장전동，부산대학교),129.0821737,35.23665837
198,창업보육센터,성균관대학교 창업보육센터,경기도 수원시 장안구 서부로 2066 성균관대학교 자연과학캠퍼스 산학협력센터 85261호,126.9744548,37.29532453
199,창업보육센터,연세원주창업보육센터,강원도 원주시 흥업면 연세대길 1 창업보육센터,127.9043221,37.27481188
200,창업보육센터,영남이공대학교창업보육센터,대구광역시 남구 현충로 170 영남이공대학교 창업보육센터 5층 (대명동),128.5841742,35.84764454
201,창업보육센터,영진전문대학창업보육센터,경상북도 칠곡군 지천면 금송로 60,128.462506,35.94976986
202,창업보육센터,인천대학교 송도창업보육센터,"인천광역시 연수구 갯벌로 12 (송도동) 미추홀타워 별관 A동 4,5층",126.6557853,37.38254619
203,창업보육센터,전남대학교 창업보육센터,광주 북구  용봉로 77 지앤알허브 420호,126.9111391,35.17386763
204,창업보육센터,창원대창업보육센터,경상남도 창원시 의창구 창원대학로 20 (사림동),128.6944823,35.2450185
205,창업보육센터,한국교통대학교 창업보육센터,충청북도 충주시 대소원면 대학로 50 한국교통대학교 창업보육센터,127.8728517,36.96886285
206,창업보육센터,충청대학창업보육센터,충청북도 청주시 흥덕구 강내면 월곡길 38 충청대학교 내,127.3698284,36.61871146
207,창업보육센터,포항공대창업보육센터,경상북도 포항시 남구 청암로 77 (지곡동) 포항공과대학교 창업보육센터 무은재기념관 208호,129.3137724,36.008034
208,창업보육센터,한국기계연구원신기술창업보육센터,대전광역시 유성구 가정북로 156 신기술창업보육센터,127.3564836,36.39656409
209,창업보육센터,한국전기연구원창업보육센터,경상남도 창원시 성산구 불모산로10번길 10  (성주동) (성주동),128.7182399,35.19194439
210,창업보육센터,호남대창업보육센터,광주광역시 광산구 어등대로 417 (서봉동),126.7675721,35.15055067
